date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",311292,3573607.59,0,0
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",362158,3384624.66,0,0
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",435949,4735559.66,0,0
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",452284,3923202.1,0,0
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",229408,2252127.27,0,0
2019-07-01,Y56,"LONDON COMMISSIONING REGION",267088,2775563.51,0,0
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",272036,2565706.25,0,0
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",320188,3511014.9,0,0
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",381395,3415133.39,0,0
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",450066,4593711.62,0,0
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",462214,3828214.58,0,0
2019-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",252770,2574913.37,0,0
2019-08-01,Y56,"LONDON COMMISSIONING REGION",261460,2728301.63,0,0
2019-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",284008,2825624.91,0,0
2019-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",342550,3900633.26,0,0
2019-08-01,Y62,"NORTH WEST COMMISSIONING REGION",397185,3684716.28,0,0
2019-08-01,Y60,"MIDLANDS COMMISSIONING REGION",477699,5073723.16,0,0
2019-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",496279,4338913.02,0,0
2019-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",234819,2485417.72,0,0
2019-09-01,Y56,"LONDON COMMISSIONING REGION",257914,2822211.36,0,0
2019-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",269882,2687982.98,0,0
2019-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",320218,3747491.26,0,0
2019-09-01,Y62,"NORTH WEST COMMISSIONING REGION",372403,3490706.81,0,0
2019-09-01,Y60,"MIDLANDS COMMISSIONING REGION",447008,4810740.36,0,0
2019-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",459473,4000791.62,0,0
2019-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",247765,2565773.66,0,0
